key,file,english_text
option.kfwfb_membership_years.0-2,public/audio/en/option.kfwfb_membership_years.0-2.mp3,"Up to 2 years"
option.kfwfb_membership_years.3-4,public/audio/en/option.kfwfb_membership_years.3-4.mp3,"3 to 4 years"
option.kfwfb_membership_years.5-plus,public/audio/en/option.kfwfb_membership_years.5-plus.mp3,"5 years or more"
fact.fisher_work_10_years,public/audio/en/fact.fisher_work_10_years.mp3,"Has the person worked and earned a living as a fisherman in Kerala for at least 10 years?"
fact.retired_from_fishing,public/audio/en/fact.retired_from_fishing.mp3,"Has the person stopped fishing work (retired)?"
fact.annual_family_income,public/audio/en/fact.annual_family_income.mp3,"What is your family's total income in a year?"
option.annual_family_income.0-49999,public/audio/en/option.annual_family_income.0-49999.mp3,"Up to ₹49,999"
option.annual_family_income.50000-50000,public/audio/en/option.annual_family_income.50000-50000.mp3,"₹50,000"
option.annual_family_income.50001-plus,public/audio/en/option.annual_family_income.50001-plus.mp3,"More than ₹50,000"
fact.kfwfb_family_status,public/audio/en/fact.kfwfb_family_status.mp3,"Which of these describe your family? Choose all that apply."
option.kfwfb_family_status.member_under_60,public/audio/en/option.kfwfb_family_status.member_under_60.mp3,"Board member fisherman, under 60"
option.kfwfb_family_status.member_over_60,public/audio/en/option.kfwfb_family_status.member_over_60.mp3,"Board member fisherman, 60 or older"
option.kfwfb_family_status.pensioner,public/audio/en/option.kfwfb_family_status.pensioner.mp3,"Receives the Board's fishermen pension"
option.kfwfb_family_status.widow_of_fisher,public/audio/en/option.kfwfb_family_status.widow_of_fisher.mp3,"Widow of a fisherman who was a Board member"
option.kfwfb_family_status.widow_of_pensioner,public/audio/en/option.kfwfb_family_status.widow_of_pensioner.mp3,"Widow of a Board pensioner"
option.kfwfb_family_status.bride_is_fisher,public/audio/en/option.kfwfb_family_status.bride_is_fisher.mp3,"The bride herself is a fisherworker"
option.kfwfb_family_status.fisher_parent_died,public/audio/en/option.kfwfb_family_status.fisher_parent_died.mp3,"The bride's fisherman parent has died"
option.kfwfb_family_status.none,public/audio/en/option.kfwfb_family_status.none.mp3,"None of these"
fact.prior_marriage_assistance,public/audio/en/fact.prior_marriage_assistance.mp3,"Has the family received this Welfare Fund marriage assistance before?"
fact.bride_18,public/audio/en/fact.bride_18.mp3,"Will the bride have completed 18 years on the marriage date?"
fact.death_by_accident,public/audio/en/fact.death_by_accident.mp3,"Was the death caused by an accident?"
fact.deceased_under_60,public/audio/en/fact.deceased_under_60.mp3,"Was the fisherman below 60 years of age when he died?"
fact.deceased_active_after_60,public/audio/en/fact.deceased_active_after_60.mp3,"If he was 60 or older: was he still working, on the fishermen list, and paying contributions regularly?"
fact.death_within_3_months,public/audio/en/fact.death_within_3_months.mp3,"Did the death happen within the last 3 months (90 days)?"
fact.regular_income_job,public/audio/en/fact.regular_income_job.mp3,"Does the widow have a job with a regular income?"
fact.widow_remarried,public/audio/en/fact.widow_remarried.mp3,"Has the widow remarried?"
fact.accident_within_3_months,public/audio/en/fact.accident_within_3_months.mp3,"Did the accident happen within the last 3 months?"
fact.family_event,public/audio/en/fact.family_event.mp3,"Has any of these happened in the family? Choose all that apply."
option.family_event.daughter_marriage,public/audio/en/option.family_event.daughter_marriage.mp3,"A daughter is getting married, or married in the last 60 days"
option.family_event.sslc_8_aplus,public/audio/en/option.family_event.sslc_8_aplus.mp3,"A child got A+ in at least 8 subjects in this year's SSLC"
option.family_event.serious_illness,public/audio/en/option.family_event.serious_illness.mp3,"Someone needs treatment for heart disease, kidney disease, cancer, a brain tumour, paralysis, or a mental illness that can be cured"
option.family_event.accident,public/audio/en/option.family_event.accident.mp3,"A fisherman was hurt in an accident and could not work for 7 days or more"
option.family_event.member_death,public/audio/en/option.family_event.member_death.mp3,"A fisherman in the family who was a Welfare Fund member has died"
option.family_event.dependant_death,public/audio/en/option.family_event.dependant_death.mp3,"In the last 3 months, a fisherman's father, mother, wife or husband, minor son or unmarried daughter died"
option.family_event.delivery,public/audio/en/option.family_event.delivery.mp3,"A woman in the family is expecting a baby or has just given birth"
option.family_event.plus_two_all_aplus,public/audio/en/option.family_event.plus_two_all_aplus.mp3,"A child got A+ in all subjects in the Higher Secondary (+2) or VHSE final exam, passing in the first attempt"
option.family_event.none,public/audio/en/option.family_event.none.mp3,"None of these"
fact.plantation_membership_years,public/audio/en/fact.plantation_membership_years.mp3,"For how many years has the worker been a continuous member of the Small Plantation Workers Welfare Fund?"
option.plantation_membership_years.0-1,public/audio/en/option.plantation_membership_years.0-1.mp3,"Up to 1 year"
option.plantation_membership_years.2-2,public/audio/en/option.plantation_membership_years.2-2.mp3,"2 years"
option.plantation_membership_years.3-4,public/audio/en/option.plantation_membership_years.3-4.mp3,"3 to 4 years"
option.plantation_membership_years.5-plus,public/audio/en/option.plantation_membership_years.5-plus.mp3,"5 years or more"
fact.incapacitated_over_2_years,public/audio/en/fact.incapacitated_over_2_years.mp3,"Has the member been continuously and permanently unable to work for more than two years?"
fact.plantation_member_death,public/audio/en/fact.plantation_member_death.mp3,"Has a member of the Small Plantation Workers Welfare Fund in your family died?"
fact.plantation_deceased_contrib_3y,public/audio/en/fact.plantation_deceased_contrib_3y.mp3,"Had the member who died paid contributions to the Fund for at least 3 years?"
fact.plantation_deceased_worked_15y,public/audio/en/fact.plantation_deceased_worked_15y.mp3,"Had the member who died worked in a small plantation for at least 15 years?"
fact.plantation_medical_treatment,public/audio/en/fact.plantation_medical_treatment.mp3,"Has the member or a family member had medical treatment for which you want help with the bills?"
fact.plantation_child_class10,public/audio/en/fact.plantation_child_class10.mp3,"Is a child of the member studying in Class X or in a higher course?"
fact.mother_age_19,public/audio/en/fact.mother_age_19.mp3,"Is the woman who is expecting or has given birth at least 19 years old?"
option.yes,public/audio/en/option.yes.mp3,"Yes"
option.no,public/audio/en/option.no.mp3,"No"
option.unknown,public/audio/en/option.unknown.mp3,"I don't know"
option.declined,public/audio/en/option.declined.mp3,"Prefer not to say"
